f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.372929e+03,-2.574256e+02,1.396854e+03,-10.6197
1.263134e-02,7.936502e-02,1.344556e+03,-2.290812e+02,1.363932e+03,-9.6690
1.595506e-02,1.002486e-01,1.319309e+03,-2.038680e+02,1.334968e+03,-8.7842
2.015338e-02,1.266274e-01,1.296843e+03,-1.814423e+02,1.309474e+03,-7.9646
2.545641e-02,1.599473e-01,1.276851e+03,-1.614987e+02,1.287023e+03,-7.2086
3.215484e-02,2.020348e-01,1.259059e+03,-1.437657e+02,1.267240e+03,-6.5141
4.061586e-02,2.551970e-01,1.243225e+03,-1.280022e+02,1.249797e+03,-5.8785
5.130326e-02,3.223479e-01,1.229131e+03,-1.139945e+02,1.234406e+03,-5.2987
6.480286e-02,4.071684e-01,1.216586e+03,-1.015529e+02,1.220817e+03,-4.7716
8.185467e-02,5.143081e-01,1.205417e+03,-9.050987e+01,1.208810e+03,-4.2940
1.033934e-01,6.496398e-01,1.195472e+03,-8.071709e+01,1.198194e+03,-3.8627
1.305997e-01,8.205818e-01,1.186614e+03,-7.204417e+01,1.188799e+03,-3.4744
1.649648e-01,1.036504e+00,1.178721e+03,-6.437670e+01,1.180477e+03,-3.1261
2.083726e-01,1.309244e+00,1.171684e+03,-5.761494e+01,1.173100e+03,-2.8151
2.632024e-01,1.653749e+00,1.165407e+03,-5.167266e+01,1.166552e+03,-2.5388
3.324598e-01,2.088906e+00,1.159802e+03,-4.647621e+01,1.160733e+03,-2.2948
4.199411e-01,2.638568e+00,1.154791e+03,-4.196385e+01,1.155553e+03,-2.0812
5.304417e-01,3.332864e+00,1.150303e+03,-3.808527e+01,1.150933e+03,-1.8963
6.700188e-01,4.209852e+00,1.146274e+03,-3.480141e+01,1.146802e+03,-1.7390
8.463232e-01,5.317605e+00,1.142645e+03,-3.208447e+01,1.143095e+03,-1.6084
1.069019e+00,6.716846e+00,1.139362e+03,-2.991824e+01,1.139755e+03,-1.5042
1.350314e+00,8.484273e+00,1.136374e+03,-2.829874e+01,1.136726e+03,-1.4265
1.705627e+00,1.071677e+01,1.133633e+03,-2.723519e+01,1.133960e+03,-1.3762
2.154435e+00,1.353671e+01,1.131092e+03,-2.675137e+01,1.131408e+03,-1.3548
2.721339e+00,1.709868e+01,1.128702e+03,-2.688743e+01,1.129023e+03,-1.3646
3.437414e+00,2.159791e+01,1.126416e+03,-2.770221e+01,1.126756e+03,-1.4088
4.341913e+00,2.728105e+01,1.124178e+03,-2.927609e+01,1.124559e+03,-1.4918
5.484417e+00,3.445961e+01,1.121929e+03,-3.171450e+01,1.122377e+03,-1.6192
6.927551e+00,4.352708e+01,1.119598e+03,-3.515200e+01,1.120149e+03,-1.7983
8.750422e+00,5.498052e+01,1.117098e+03,-3.975707e+01,1.117805e+03,-2.0383
1.105295e+01,6.944774e+01,1.114321e+03,-4.573727e+01,1.115259e+03,-2.3504
1.396135e+01,8.772177e+01,1.111125e+03,-5.334466e+01,1.112405e+03,-2.7486
1.763505e+01,1.108043e+02,1.107324e+03,-6.288063e+01,1.109108e+03,-3.2501
2.227543e+01,1.399607e+02,1.102668e+03,-7.469904e+01,1.105195e+03,-3.8755
2.813684e+01,1.767890e+02,1.096817e+03,-8.920528e+01,1.100438e+03,-4.6497
3.554059e+01,2.233081e+02,1.089307e+03,-1.068476e+02,1.094535e+03,-5.6021
4.489251e+01,2.820680e+02,1.079510e+03,-1.280943e+02,1.087084e+03,-6.7671
5.670524e+01,3.562895e+02,1.066579e+03,-1.533882e+02,1.077553e+03,-8.1838
7.162629e+01,4.500413e+02,1.049396e+03,-1.830635e+02,1.065244e+03,-9.8955
9.047357e+01,5.684622e+02,1.026533e+03,-2.172119e+02,1.049262e+03,-11.9474
1.142802e+02,7.180437e+02,9.962558e+02,-2.554829e+02,1.028493e+03,-14.3832
1.443512e+02,9.069851e+02,9.566413e+02,-2.968266e+02,1.001633e+03,-17.2381
1.823348e+02,1.145643e+03,9.058554e+02,-3.392271e+02,9.672895e+02,-20.5301
2.303132e+02,1.447101e+03,8.426659e+02,-3.795519e+02,9.241999e+02,-24.2477
2.909163e+02,1.827881e+03,7.671325e+02,-4.137153e+02,8.715805e+02,-28.3380
3.674662e+02,2.308858e+03,6.812418e+02,-4.373363e+02,8.095390e+02,-32.6992
4.641589e+02,2.916396e+03,5.890839e+02,-4.468527e+02,7.393897e+02,-37.1823
5.862947e+02,3.683798e+03,4.962364e+02,-4.406819e+02,6.636649e+02,-41.6066
7.405685e+02,4.653129e+03,4.084579e+02,-4.198027e+02,5.857236e+02,-45.7847
9.354369e+02,5.877523e+03,3.302900e+02,-3.873922e+02,5.090818e+02,-49.5491
1.181582e+03,7.424097e+03,2.642411e+02,-3.477488e+02,4.367523e+02,-52.7702
1.492496e+03,9.377626e+03,2.107874e+02,-3.051129e+02,3.708439e+02,-55.3613
1.885221e+03,1.184519e+04,1.689389e+02,-2.628799e+02,3.124839e+02,-57.2733
2.381286e+03,1.496206e+04,1.369474e+02,-2.233282e+02,2.619734e+02,-58.4829
3.007883e+03,1.889908e+04,1.128717e+02,-1.877132e+02,2.190349e+02,-58.9816
3.799357e+03,2.387207e+04,9.491586e+01,-1.565214e+02,1.830519e+02,-58.7670
4.799096e+03,3.015361e+04,8.157431e+01,-1.297384e+02,1.532528e+02,-57.8400
6.061899e+03,3.808803e+04,7.165888e+01,-1.070638e+02,1.288319e+02,-56.2052
7.656988e+03,4.811028e+04,6.426636e+01,-8.806189e+01,1.090186e+02,-53.8785
9.671799e+03,6.076970e+04,5.872609e+01,-7.225455e+01,9.311000e+01,-50.8969
1.221677e+04,7.676025e+04,5.454688e+01,-5.917515e+01,8.048019e+01,-47.3305
1.543142e+04,9.695845e+04,5.137152e+01,-4.839560e+01,7.057738e+01,-43.2915
1.949194e+04,1.224715e+05,4.894076e+01,-3.953747e+01,6.291589e+01,-38.9335
2.462092e+04,1.546978e+05,4.706619e+01,-3.227423e+01,5.706884e+01,-34.4392
3.109952e+04,1.954040e+05,4.561035e+01,-2.632857e+01,5.266401e+01,-29.9957
3.928284e+04,2.468214e+05,4.447228e+01,-2.146763e+01,4.938262e+01,-25.7675
4.961948e+04,3.117684e+05,4.357734e+01,-1.749737e+01,4.695895e+01,-21.8767
6.267603e+04,3.938051e+05,4.286988e+01,-1.425701e+01,4.517841e+01,-18.3953
7.916819e+04,4.974284e+05,4.230802e+01,-1.161393e+01,4.387313e+01,-15.3501
1.000000e+05,6.283185e+05,4.186001e+01,-9.459026e+00,4.291543e+01,-12.7332
