f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,4.494858e+03,-2.169054e+02,4.500089e+03,-2.7627
1.263134e-02,7.936502e-02,4.471015e+03,-1.934595e+02,4.475199e+03,-2.4776
1.595506e-02,1.002486e-01,4.449771e+03,-1.726949e+02,4.453121e+03,-2.2225
2.015338e-02,1.266274e-01,4.430834e+03,-1.543362e+02,4.433521e+03,-1.9949
2.545641e-02,1.599473e-01,4.413942e+03,-1.381432e+02,4.416104e+03,-1.7926
3.215484e-02,2.020348e-01,4.398862e+03,-1.239069e+02,4.400607e+03,-1.6135
4.061586e-02,2.551970e-01,4.385383e+03,-1.114482e+02,4.386799e+03,-1.4558
5.130326e-02,3.223479e-01,4.373316e+03,-1.006151e+02,4.374473e+03,-1.3179
6.480286e-02,4.071684e-01,4.362490e+03,-9.128197e+01,4.363445e+03,-1.1987
8.185467e-02,5.143081e-01,4.352749e+03,-8.334818e+01,4.353547e+03,-1.0970
1.033934e-01,6.496398e-01,4.343951e+03,-7.673803e+01,4.344629e+03,-1.0121
1.305997e-01,8.205818e-01,4.335964e+03,-7.140073e+01,4.336552e+03,-0.9434
1.649648e-01,1.036504e+00,4.328664e+03,-6.731121e+01,4.329187e+03,-0.8909
2.083726e-01,1.309244e+00,4.321933e+03,-6.447145e+01,4.322414e+03,-0.8546
2.632024e-01,1.653749e+00,4.315658e+03,-6.291257e+01,4.316117e+03,-0.8352
3.324598e-01,2.088906e+00,4.309724e+03,-6.269765e+01,4.310180e+03,-0.8335
4.199411e-01,2.638568e+00,4.304016e+03,-6.392549e+01,4.304491e+03,-0.8509
5.304417e-01,3.332864e+00,4.298412e+03,-6.673532e+01,4.298930e+03,-0.8895
6.700188e-01,4.209852e+00,4.292778e+03,-7.131260e+01,4.293370e+03,-0.9517
8.463232e-01,5.317605e+00,4.286967e+03,-7.789608e+01,4.287675e+03,-1.0410
1.069019e+00,6.716846e+00,4.280809e+03,-8.678617e+01,4.281689e+03,-1.1614
1.350314e+00,8.484273e+00,4.274101e+03,-9.835455e+01,4.275232e+03,-1.3182
1.705627e+00,1.071677e+01,4.266598e+03,-1.130552e+02,4.268096e+03,-1.5179
2.154435e+00,1.353671e+01,4.257998e+03,-1.314365e+02,4.260026e+03,-1.7681
2.721339e+00,1.709868e+01,4.247918e+03,-1.541532e+02,4.250714e+03,-2.0783
3.437414e+00,2.159791e+01,4.235871e+03,-1.819790e+02,4.239778e+03,-2.4600
4.341913e+00,2.728105e+01,4.221227e+03,-2.158148e+02,4.226740e+03,-2.9268
5.484417e+00,3.445961e+01,4.203167e+03,-2.566922e+02,4.210998e+03,-3.4948
6.927551e+00,4.352708e+01,4.180616e+03,-3.057644e+02,4.191783e+03,-4.1831
8.750422e+00,5.498052e+01,4.152170e+03,-3.642777e+02,4.168118e+03,-5.0138
1.105295e+01,6.944774e+01,4.115988e+03,-4.335086e+02,4.138755e+03,-6.0124
1.396135e+01,8.772177e+01,4.069693e+03,-5.146492e+02,4.102105e+03,-7.2073
1.763505e+01,1.108043e+02,4.010252e+03,-6.086157e+02,4.056172e+03,-8.6296
2.227543e+01,1.399607e+02,3.933897e+03,-7.157529e+02,3.998481e+03,-10.3119
2.813684e+01,1.767890e+02,3.836143e+03,-8.354117e+02,3.926055e+03,-12.2857
3.554059e+01,2.233081e+02,3.711975e+03,-9.654087e+02,3.835463e+03,-14.5785
4.489251e+01,2.820680e+02,3.556359e+03,-1.101434e+03,3.723016e+03,-17.2082
5.670524e+01,3.562895e+02,3.365162e+03,-1.236589e+03,3.585173e+03,-20.1768
7.162629e+01,4.500413e+02,3.136501e+03,-1.361371e+03,3.419206e+03,-23.4628
9.047357e+01,5.684622e+02,2.872279e+03,-1.464458e+03,3.224069e+03,-27.0152
1.142802e+02,7.180437e+02,2.579317e+03,-1.534525e+03,3.001274e+03,-30.7499
1.443512e+02,9.069851e+02,2.269356e+03,-1.562796e+03,2.755414e+03,-34.5533
1.823348e+02,1.145643e+03,1.957438e+03,-1.545458e+03,2.493994e+03,-38.2922
2.303132e+02,1.447101e+03,1.659012e+03,-1.484820e+03,2.226435e+03,-41.8286
2.909163e+02,1.827881e+03,1.386869e+03,-1.388606e+03,1.962558e+03,-45.0359
3.674662e+02,2.308858e+03,1.149134e+03,-1.267759e+03,1.711058e+03,-47.8099
4.641589e+02,2.916396e+03,9.488729e+02,-1.133816e+03,1.478479e+03,-50.0746
5.862947e+02,3.683798e+03,7.850140e+02,-9.968631e+02,1.268851e+03,-51.7801
7.405685e+02,4.653129e+03,6.538453e+02,-8.644836e+02,1.083903e+03,-52.8983
9.354369e+02,5.877523e+03,5.504480e+02,-7.416121e+02,9.235700e+02,-53.4160
1.181582e+03,7.424097e+03,4.697358e+02,-6.309169e+02,7.865799e+02,-53.3313
1.492496e+03,9.377626e+03,4.070568e+02,-5.333827e+02,6.709637e+02,-52.6505
1.885221e+03,1.184519e+04,3.584542e+02,-4.488756e+02,5.744377e+02,-51.3905
2.381286e+03,1.496206e+04,3.207133e+02,-3.765985e+02,4.946548e+02,-49.5821
3.007883e+03,1.889908e+04,2.912968e+02,-3.154183e+02,4.293513e+02,-47.2767
3.799357e+03,2.387207e+04,2.682367e+02,-2.640818e+02,3.764175e+02,-44.5528
4.799096e+03,3.015361e+04,2.500197e+02,-2.213473e+02,3.339228e+02,-41.5191
6.061899e+03,3.808803e+04,2.354830e+02,-1.860586e+02,3.001167e+02,-38.3128
7.656988e+03,4.811028e+04,2.237268e+02,-1.571808e+02,2.734218e+02,-35.0902
9.671799e+03,6.076970e+04,2.140435e+02,-1.338113e+02,2.524284e+02,-32.0119
1.221677e+04,7.676025e+04,2.058615e+02,-1.151757e+02,2.358906e+02,-29.2262
1.543142e+04,9.695845e+04,1.986999e+02,-1.006142e+02,2.227215e+02,-26.8559
1.949194e+04,1.224715e+05,1.921341e+02,-8.955924e+01,2.119820e+02,-24.9916
2.462092e+04,1.546978e+05,1.857701e+02,-8.150643e+01,2.028641e+02,-23.6894
3.109952e+04,1.954040e+05,1.792313e+02,-7.597786e+01,1.946702e+02,-22.9726
3.928284e+04,2.468214e+05,1.721620e+02,-7.248066e+01,1.867972e+02,-22.8312
4.961948e+04,3.117684e+05,1.642554e+02,-7.046762e+01,1.787331e+02,-23.2199
6.267603e+04,3.938051e+05,1.553096e+02,-6.931626e+01,1.700759e+02,-24.0517
7.916819e+04,4.974284e+05,1.453013e+02,-6.834921e+01,1.605743e+02,-25.1921
1.000000e+05,6.283185e+05,1.344472e+02,-6.691340e+01,1.501781e+02,-26.4592
