f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.438011e+03,-2.466023e+02,3.446844e+03,-4.1027
1.263134e-02,7.936502e-02,3.410861e+03,-2.197852e+02,3.417935e+03,-3.6869
1.595506e-02,1.002486e-01,3.386673e+03,-1.959929e+02,3.392340e+03,-3.3121
2.015338e-02,1.266274e-01,3.365117e+03,-1.749049e+02,3.369659e+03,-2.9753
2.545641e-02,1.599473e-01,3.345894e+03,-1.562387e+02,3.349540e+03,-2.6735
3.215484e-02,2.020348e-01,3.328742e+03,-1.397459e+02,3.331674e+03,-2.4040
4.061586e-02,2.551970e-01,3.313421e+03,-1.252091e+02,3.315786e+03,-2.1641
5.130326e-02,3.223479e-01,3.299720e+03,-1.124390e+02,3.301635e+03,-1.9516
6.480286e-02,4.071684e-01,3.287446e+03,-1.012724e+02,3.289005e+03,-1.7645
8.185467e-02,5.143081e-01,3.276426e+03,-9.156997e+01,3.277706e+03,-1.6009
1.033934e-01,6.496398e-01,3.266504e+03,-8.321493e+01,3.267564e+03,-1.4593
1.305997e-01,8.205818e-01,3.257537e+03,-7.611193e+01,3.258426e+03,-1.3385
1.649648e-01,1.036504e+00,3.249391e+03,-7.018626e+01,3.250149e+03,-1.2374
2.083726e-01,1.309244e+00,3.241945e+03,-6.538348e+01,3.242604e+03,-1.1554
2.632024e-01,1.653749e+00,3.235082e+03,-6.166942e+01,3.235669e+03,-1.0921
3.324598e-01,2.088906e+00,3.228692e+03,-5.903061e+01,3.229231e+03,-1.0474
4.199411e-01,2.638568e+00,3.222666e+03,-5.747511e+01,3.223179e+03,-1.0217
5.304417e-01,3.332864e+00,3.216898e+03,-5.703373e+01,3.217404e+03,-1.0157
6.700188e-01,4.209852e+00,3.211277e+03,-5.776182e+01,3.211796e+03,-1.0305
8.463232e-01,5.317605e+00,3.205688e+03,-5.974140e+01,3.206244e+03,-1.0676
1.069019e+00,6.716846e+00,3.200007e+03,-6.308393e+01,3.200629e+03,-1.1294
1.350314e+00,8.484273e+00,3.194099e+03,-6.793348e+01,3.194822e+03,-1.2184
1.705627e+00,1.071677e+01,3.187810e+03,-7.447036e+01,3.188680e+03,-1.3382
2.154435e+00,1.353671e+01,3.180963e+03,-8.291514e+01,3.182043e+03,-1.4931
2.721339e+00,1.709868e+01,3.173350e+03,-9.353290e+01,3.174728e+03,-1.6883
3.437414e+00,2.159791e+01,3.164724e+03,-1.066373e+02,3.166520e+03,-1.9299
4.341913e+00,2.728105e+01,3.154785e+03,-1.225943e+02,3.157166e+03,-2.2254
5.484417e+00,3.445961e+01,3.143166e+03,-1.418240e+02,3.146364e+03,-2.5835
6.927551e+00,4.352708e+01,3.129417e+03,-1.648006e+02,3.133753e+03,-3.0145
8.750422e+00,5.498052e+01,3.112978e+03,-1.920475e+02,3.118896e+03,-3.5302
1.105295e+01,6.944774e+01,3.093154e+03,-2.241255e+02,3.101263e+03,-4.1443
1.396135e+01,8.772177e+01,3.069083e+03,-2.616108e+02,3.080213e+03,-4.8722
1.763505e+01,1.108043e+02,3.039700e+03,-3.050571e+02,3.054969e+03,-5.7309
2.227543e+01,1.399607e+02,3.003701e+03,-3.549359e+02,3.024599e+03,-6.7392
2.813684e+01,1.767890e+02,2.959514e+03,-4.115490e+02,2.987992e+03,-7.9168
3.554059e+01,2.233081e+02,2.905291e+03,-4.749054e+02,2.943850e+03,-9.2836
4.489251e+01,2.820680e+02,2.838937e+03,-5.445616e+02,2.890694e+03,-10.8585
5.670524e+01,3.562895e+02,2.758203e+03,-6.194317e+02,2.826903e+03,-12.6574
7.162629e+01,4.500413e+02,2.660883e+03,-6.975914e+02,2.750806e+03,-14.6904
9.047357e+01,5.684622e+02,2.545126e+03,-7.761280e+02,2.660835e+03,-16.9589
1.142802e+02,7.180437e+02,2.409873e+03,-8.511126e+02,2.555755e+03,-19.4521
1.443512e+02,9.069851e+02,2.255370e+03,-9.177910e+02,2.434961e+03,-22.1432
1.823348e+02,1.145643e+03,2.083616e+03,-9.710623e+02,2.298786e+03,-24.9877
