f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,5.106095e+03,-1.865257e+02,5.109500e+03,-2.0921
1.263134e-02,7.936502e-02,5.085606e+03,-1.663103e+02,5.088325e+03,-1.8730
1.595506e-02,1.002486e-01,5.067364e+03,-1.484040e+02,5.069537e+03,-1.6775
2.015338e-02,1.266274e-01,5.051118e+03,-1.325715e+02,5.052857e+03,-1.5034
2.545641e-02,1.599473e-01,5.036644e+03,-1.186078e+02,5.038040e+03,-1.3490
3.215484e-02,2.020348e-01,5.023743e+03,-1.063359e+02,5.024868e+03,-1.2126
4.061586e-02,2.551970e-01,5.012236e+03,-9.560553e+01,5.013148e+03,-1.0928
5.130326e-02,3.223479e-01,5.001963e+03,-8.629152e+01,5.002708e+03,-0.9883
6.480286e-02,4.071684e-01,4.992781e+03,-7.829307e+01,4.993395e+03,-0.8984
8.185467e-02,5.143081e-01,4.984559e+03,-7.153364e+01,4.985072e+03,-0.8222
1.033934e-01,6.496398e-01,4.977179e+03,-6.596144e+01,4.977616e+03,-0.7593
1.305997e-01,8.205818e-01,4.970533e+03,-6.155047e+01,4.970914e+03,-0.7095
1.649648e-01,1.036504e+00,4.964520e+03,-5.830252e+01,4.964862e+03,-0.6728
2.083726e-01,1.309244e+00,4.959047e+03,-5.624997e+01,4.959366e+03,-0.6499
2.632024e-01,1.653749e+00,4.954023e+03,-5.545964e+01,4.954333e+03,-0.6414
3.324598e-01,2.088906e+00,4.949359e+03,-5.603802e+01,4.949677e+03,-0.6487
4.199411e-01,2.638568e+00,4.944966e+03,-5.813787e+01,4.945308e+03,-0.6736
5.304417e-01,3.332864e+00,4.940749e+03,-6.196667e+01,4.941138e+03,-0.7186
6.700188e-01,4.209852e+00,4.936605e+03,-6.779720e+01,4.937070e+03,-0.7868
8.463232e-01,5.317605e+00,4.932415e+03,-7.598067e+01,4.933000e+03,-0.8825
1.069019e+00,6.716846e+00,4.928039e+03,-8.696273e+01,4.928806e+03,-1.0110
1.350314e+00,8.484273e+00,4.923303e+03,-1.013030e+02,4.924345e+03,-1.1788
1.705627e+00,1.071677e+01,4.917985e+03,-1.196982e+02,4.919441e+03,-1.3942
2.154435e+00,1.353671e+01,4.911791e+03,-1.430097e+02,4.913872e+03,-1.6677
2.721339e+00,1.709868e+01,4.904327e+03,-1.722945e+02,4.907353e+03,-2.0120
3.437414e+00,2.159791e+01,4.895050e+03,-2.088392e+02,4.899503e+03,-2.4429
4.341913e+00,2.728105e+01,4.883203e+03,-2.541942e+02,4.889815e+03,-2.9798
5.484417e+00,3.445961e+01,4.867723e+03,-3.102021e+02,4.877597e+03,-3.6463
6.927551e+00,4.352708e+01,4.847102e+03,-3.790104e+02,4.861898e+03,-4.4710
8.750422e+00,5.498052e+01,4.819207e+03,-4.630471e+02,4.841402e+03,-5.4883
1.105295e+01,6.944774e+01,4.781026e+03,-5.649261e+02,4.814286e+03,-6.7388
1.396135e+01,8.772177e+01,4.728356e+03,-6.872251e+02,4.778036e+03,-8.2695
1.763505e+01,1.108043e+02,4.655449e+03,-8.320515e+02,4.729219e+03,-10.1333
2.227543e+01,1.399607e+02,4.554714e+03,-1.000286e+03,4.663260e+03,-12.3864
2.813684e+01,1.767890e+02,4.416665e+03,-1.190399e+03,4.574274e+03,-15.0842
3.554059e+01,2.233081e+02,4.230501e+03,-1.396842e+03,4.455144e+03,-18.2724
4.489251e+01,2.820680e+02,3.985823e+03,-1.608324e+03,4.298080e+03,-21.9746
5.670524e+01,3.562895e+02,3.675893e+03,-1.806839e+03,4.095956e+03,-26.1758
7.162629e+01,4.500413e+02,3.302091e+03,-1.968886e+03,3.844518e+03,-30.8057
9.047357e+01,5.684622e+02,2.877767e+03,-2.070117e+03,3.544986e+03,-35.7293
1.142802e+02,7.180437e+02,2.428483e+03,-2.092797e+03,3.205827e+03,-40.7538
1.443512e+02,9.069851e+02,1.986721e+03,-2.032635e+03,2.842299e+03,-45.6545
1.823348e+02,1.145643e+03,1.582837e+03,-1.900584e+03,2.473377e+03,-50.2119
2.303132e+02,1.447101e+03,1.237209e+03,-1.718357e+03,2.117412e+03,-54.2463
2.909163e+02,1.827881e+03,9.574699e+02,-1.510730e+03,1.788590e+03,-57.6343
3.674662e+02,2.308858e+03,7.407608e+02,-1.299087e+03,1.495444e+03,-60.3075
4.641589e+02,2.916396e+03,5.781805e+02,-1.098389e+03,1.241270e+03,-62.2382
5.862947e+02,3.683798e+03,4.588322e+02,-9.171396e+02,1.025511e+03,-63.4218
7.405685e+02,4.653129e+03,3.723695e+02,-7.588442e+02,8.452831e+02,-63.8625
9.354369e+02,5.877523e+03,3.101346e+02,-6.237568e+02,6.966032e+02,-63.5632
1.181582e+03,7.424097e+03,2.653969e+02,-5.103096e+02,5.751968e+02,-62.5224
1.492496e+03,9.377626e+03,2.331542e+02,-4.160969e+02,4.769670e+02,-60.7365
1.885221e+03,1.184519e+04,2.097910e+02,-3.384715e+02,3.982151e+02,-58.2086
2.381286e+03,1.496206e+04,1.927366e+02,-2.748710e+02,3.357104e+02,-54.9623
3.007883e+03,1.889908e+04,1.801791e+02,-2.229733e+02,2.866733e+02,-51.0592
3.799357e+03,2.387207e+04,1.708449e+02,-1.807544e+02,2.487170e+02,-46.6144
4.799096e+03,3.015361e+04,1.638385e+02,-1.464919e+02,2.197793e+02,-41.8006
6.061899e+03,3.808803e+04,1.585273e+02,-1.187436e+02,1.980680e+02,-36.8348
7.656988e+03,4.811028e+04,1.544612e+02,-9.631557e+01,1.820301e+02,-31.9460
9.671799e+03,6.076970e+04,1.513174e+02,-7.822674e+01,1.703419e+02,-27.3377
1.221677e+04,7.676025e+04,1.488616e+02,-6.367652e+01,1.619089e+02,-23.1591
1.543142e+04,9.695845e+04,1.469216e+02,-5.201495e+01,1.558574e+02,-19.4956
1.949194e+04,1.224715e+05,1.453685e+02,-4.271727e+01,1.515149e+02,-16.3757
2.462092e+04,1.546978e+05,1.441035e+02,-3.536229e+01,1.483790e+02,-13.7877
3.109952e+04,1.954040e+05,1.430491e+02,-2.961454e+01,1.460824e+02,-11.6963
3.928284e+04,2.468214e+05,1.421414e+02,-2.520946e+01,1.443596e+02,-10.0571
4.961948e+04,3.117684e+05,1.413244e+02,-2.194128e+01,1.430175e+02,-8.8250
6.267603e+04,3.938051e+05,1.405458e+02,-1.965297e+01,1.419132e+02,-7.9602
7.916819e+04,4.974284e+05,1.397515e+02,-1.822764e+01,1.409352e+02,-7.4311
1.000000e+05,6.283185e+05,1.388810e+02,-1.758063e+01,1.399894e+02,-7.2146
