f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,2.757238e+03,-2.097777e+02,2.765206e+03,-4.3508
1.263134e-02,7.936502e-02,2.734134e+03,-1.867623e+02,2.740505e+03,-3.9077
1.595506e-02,1.002486e-01,2.713572e+03,-1.663086e+02,2.718663e+03,-3.5071
2.015338e-02,1.266274e-01,2.695271e+03,-1.481398e+02,2.699339e+03,-3.1460
2.545641e-02,1.599473e-01,2.678981e+03,-1.320112e+02,2.682231e+03,-2.8211
3.215484e-02,2.020348e-01,2.664478e+03,-1.177064e+02,2.667077e+03,-2.5295
4.061586e-02,2.551970e-01,2.651564e+03,-1.050351e+02,2.653643e+03,-2.2684
5.130326e-02,3.223479e-01,2.640061e+03,-9.383037e+01,2.641728e+03,-2.0355
6.480286e-02,4.071684e-01,2.629812e+03,-8.394681e+01,2.631152e+03,-1.8283
8.185467e-02,5.143081e-01,2.620675e+03,-7.525887e+01,2.621755e+03,-1.6449
1.033934e-01,6.496398e-01,2.612523e+03,-6.765954e+01,2.613399e+03,-1.4835
1.305997e-01,8.205818e-01,2.605243e+03,-6.105944e+01,2.605959e+03,-1.3426
1.649648e-01,1.036504e+00,2.598733e+03,-5.538622e+01,2.599323e+03,-1.2209
2.083726e-01,1.309244e+00,2.592900e+03,-5.058439e+01,2.593393e+03,-1.1176
2.632024e-01,1.653749e+00,2.587660e+03,-4.661553e+01,2.588080e+03,-1.0320
3.324598e-01,2.088906e+00,2.582936e+03,-4.345896e+01,2.583302e+03,-0.9639
4.199411e-01,2.638568e+00,2.578656e+03,-4.111297e+01,2.578984e+03,-0.9134
5.304417e-01,3.332864e+00,2.574753e+03,-3.959659e+01,2.575058e+03,-0.8811
6.700188e-01,4.209852e+00,2.571162e+03,-3.895208e+01,2.571457e+03,-0.8679
8.463232e-01,5.317605e+00,2.567817e+03,-3.924820e+01,2.568117e+03,-0.8757
1.069019e+00,6.716846e+00,2.564652e+03,-4.058451e+01,2.564973e+03,-0.9066
1.350314e+00,8.484273e+00,2.561597e+03,-4.309666e+01,2.561959e+03,-0.9639
1.705627e+00,1.071677e+01,2.558573e+03,-4.696304e+01,2.559004e+03,-1.0516
2.154435e+00,1.353671e+01,2.555489e+03,-5.241296e+01,2.556027e+03,-1.1750
2.721339e+00,1.709868e+01,2.552236e+03,-5.973637e+01,2.552935e+03,-1.3408
3.437414e+00,2.159791e+01,2.548675e+03,-6.929546e+01,2.549617e+03,-1.5574
4.341913e+00,2.728105e+01,2.544626e+03,-8.153799e+01,2.545932e+03,-1.8353
5.484417e+00,3.445961e+01,2.539851e+03,-9.701198e+01,2.541703e+03,-2.1874
6.927551e+00,4.352708e+01,2.534025e+03,-1.163810e+02,2.536696e+03,-2.6296
8.750422e+00,5.498052e+01,2.526699e+03,-1.404378e+02,2.530599e+03,-3.1813
1.105295e+01,6.944774e+01,2.517247e+03,-1.701128e+02,2.522988e+03,-3.8661
1.396135e+01,8.772177e+01,2.504794e+03,-2.064699e+02,2.513289e+03,-4.7122
1.763505e+01,1.108043e+02,2.488111e+03,-2.506772e+02,2.500707e+03,-5.7531
2.227543e+01,1.399607e+02,2.465493e+03,-3.039324e+02,2.484156e+03,-7.0277
2.813684e+01,1.767890e+02,2.434602e+03,-3.673108e+02,2.462155e+03,-8.5796
3.554059e+01,2.233081e+02,2.392324e+03,-4.414919e+02,2.432720e+03,-10.4560
4.489251e+01,2.820680e+02,2.334683e+03,-5.263164e+02,2.393273e+03,-12.7040
5.670524e+01,3.562895e+02,2.256967e+03,-6.201490e+02,2.340617e+03,-15.3640
7.162629e+01,4.500413e+02,2.154236e+03,-7.191111e+02,2.271091e+03,-18.4597
9.047357e+01,5.684622e+02,2.022452e+03,-8.164420e+02,2.181029e+03,-21.9834
1.142802e+02,7.180437e+02,1.860253e+03,-9.025100e+02,2.067623e+03,-25.8805
1.443512e+02,9.069851e+02,1.670923e+03,-9.661132e+02,1.930119e+03,-30.0361
1.823348e+02,1.145643e+03,1.463436e+03,-9.972798e+02,1.770936e+03,-34.2730
2.303132e+02,1.447101e+03,1.251369e+03,-9.906713e+02,1.596044e+03,-38.3676
2.909163e+02,1.827881e+03,1.049552e+03,-9.477189e+02,1.414118e+03,-42.0812
3.674662e+02,2.308858e+03,8.700271e+02,-8.760610e+02,1.234678e+03,-45.1980
4.641589e+02,2.916396e+03,7.194898e+02,-7.866736e+02,1.066077e+03,-47.5540
5.862947e+02,3.683798e+03,5.991365e+02,-6.905154e+02,9.142079e+02,-49.0529
7.405685e+02,4.653129e+03,5.062323e+02,-5.962817e+02,7.821911e+02,-49.6694
9.354369e+02,5.877523e+03,4.360958e+02,-5.096746e+02,6.707814e+02,-49.4485
1.181582e+03,7.424097e+03,3.836315e+02,-4.337216e+02,5.790403e+02,-48.5069
1.492496e+03,9.377626e+03,3.441835e+02,-3.695048e+02,5.049713e+02,-47.0320
1.885221e+03,1.184519e+04,3.138515e+02,-3.168754e+02,4.459963e+02,-45.2747
2.381286e+03,1.496206e+04,2.894991e+02,-2.749839e+02,3.992816e+02,-43.5270
3.007883e+03,1.889908e+04,2.686348e+02,-2.426004e+02,3.619664e+02,-42.0848
3.799357e+03,2.387207e+04,2.492840e+02,-2.182668e+02,3.313350e+02,-41.2046
4.799096e+03,3.015361e+04,2.299166e+02,-2.003418e+02,3.049565e+02,-41.0678
6.061899e+03,3.808803e+04,2.094652e+02,-1.870127e+02,2.808014e+02,-41.7588
7.656988e+03,4.811028e+04,1.874203e+02,-1.763569e+02,2.573482e+02,-43.2580
9.671799e+03,6.076970e+04,1.639332e+02,-1.665201e+02,2.336729e+02,-45.4485
1.221677e+04,7.676025e+04,1.398049e+02,-1.560086e+02,2.094853e+02,-48.1353
1.543142e+04,9.695845e+04,1.162683e+02,-1.439766e+02,1.850610e+02,-51.0774
1.949194e+04,1.224715e+05,9.460278e+01,-1.303373e+02,1.610512e+02,-54.0267
2.462092e+04,1.546978e+05,7.575985e+01,-1.156129e+02,1.382241e+02,-56.7636
