f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.454967e+03,-2.424404e+02,1.475028e+03,-9.4602
1.263134e-02,7.936502e-02,1.428246e+03,-2.157413e+02,1.444449e+03,-8.5898
1.595506e-02,1.002486e-01,1.404470e+03,-1.919911e+02,1.417532e+03,-7.7841
2.015338e-02,1.266274e-01,1.383313e+03,-1.708661e+02,1.393826e+03,-7.0415
2.545641e-02,1.599473e-01,1.364487e+03,-1.520784e+02,1.372935e+03,-6.3596
3.215484e-02,2.020348e-01,1.347734e+03,-1.353725e+02,1.354515e+03,-5.7358
4.061586e-02,2.551970e-01,1.332825e+03,-1.205214e+02,1.338263e+03,-5.1669
5.130326e-02,3.223479e-01,1.319557e+03,-1.073236e+02,1.323914e+03,-4.6498
6.480286e-02,4.071684e-01,1.307748e+03,-9.560078e+01,1.311238e+03,-4.1811
8.185467e-02,5.143081e-01,1.297238e+03,-8.519505e+01,1.300032e+03,-3.7575
1.033934e-01,6.496398e-01,1.287880e+03,-7.596710e+01,1.290119e+03,-3.3757
1.305997e-01,8.205818e-01,1.279549e+03,-6.779438e+01,1.281344e+03,-3.0329
1.649648e-01,1.036504e+00,1.272129e+03,-6.056957e+01,1.273570e+03,-2.7260
2.083726e-01,1.309244e+00,1.265519e+03,-5.419939e+01,1.266679e+03,-2.4524
2.632024e-01,1.653749e+00,1.259627e+03,-4.860348e+01,1.260564e+03,-2.2097
3.324598e-01,2.088906e+00,1.254372e+03,-4.371371e+01,1.255133e+03,-1.9959
4.199411e-01,2.638568e+00,1.249681e+03,-3.947358e+01,1.250304e+03,-1.8092
5.304417e-01,3.332864e+00,1.245488e+03,-3.583794e+01,1.246003e+03,-1.6482
6.700188e-01,4.209852e+00,1.241734e+03,-3.277299e+01,1.242166e+03,-1.5119
8.463232e-01,5.317605e+00,1.238365e+03,-3.025654e+01,1.238735e+03,-1.3996
1.069019e+00,6.716846e+00,1.235332e+03,-2.827861e+01,1.235655e+03,-1.3114
1.350314e+00,8.484273e+00,1.232588e+03,-2.684245e+01,1.232880e+03,-1.2476
1.705627e+00,1.071677e+01,1.230090e+03,-2.596594e+01,1.230364e+03,-1.2093
2.154435e+00,1.353671e+01,1.227796e+03,-2.568356e+01,1.228065e+03,-1.1984
