f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.329830e+03,-2.604233e+02,1.355090e+03,-11.0801
1.263134e-02,7.936502e-02,1.301127e+03,-2.317496e+02,1.321605e+03,-10.0993
1.595506e-02,1.002486e-01,1.275585e+03,-2.062436e+02,1.292151e+03,-9.1844
2.015338e-02,1.266274e-01,1.252857e+03,-1.835574e+02,1.266232e+03,-8.3352
2.545641e-02,1.599473e-01,1.232631e+03,-1.633821e+02,1.243412e+03,-7.5504
3.215484e-02,2.020348e-01,1.214631e+03,-1.454428e+02,1.223308e+03,-6.8282
4.061586e-02,2.551970e-01,1.198611e+03,-1.294959e+02,1.205586e+03,-6.1662
5.130326e-02,3.223479e-01,1.184351e+03,-1.153248e+02,1.189953e+03,-5.5616
6.480286e-02,4.071684e-01,1.171658e+03,-1.027376e+02,1.176154e+03,-5.0112
8.185467e-02,5.143081e-01,1.160357e+03,-9.156456e+01,1.163964e+03,-4.5119
1.033934e-01,6.496398e-01,1.150293e+03,-8.165551e+01,1.153187e+03,-4.0604
1.305997e-01,8.205818e-01,1.141328e+03,-7.287823e+01,1.143652e+03,-3.6536
1.649648e-01,1.036504e+00,1.133339e+03,-6.511660e+01,1.135208e+03,-3.2883
2.083726e-01,1.309244e+00,1.126216e+03,-5.826922e+01,1.127723e+03,-2.9618
2.632024e-01,1.653749e+00,1.119861e+03,-5.224822e+01,1.121079e+03,-2.6713
3.324598e-01,2.088906e+00,1.114184e+03,-4.697828e+01,1.115174e+03,-2.4144
4.199411e-01,2.638568e+00,1.109107e+03,-4.239586e+01,1.109917e+03,-2.1891
5.304417e-01,3.332864e+00,1.104558e+03,-3.844872e+01,1.105227e+03,-1.9936
6.700188e-01,4.209852e+00,1.100472e+03,-3.509556e+01,1.101031e+03,-1.8266
8.463232e-01,5.317605e+00,1.096789e+03,-3.230600e+01,1.097264e+03,-1.6872
1.069019e+00,6.716846e+00,1.093454e+03,-3.006077e+01,1.093867e+03,-1.5748
1.350314e+00,8.484273e+00,1.090416e+03,-2.835214e+01,1.090785e+03,-1.4894
1.705627e+00,1.071677e+01,1.087626e+03,-2.718473e+01,1.087966e+03,-1.4318
2.154435e+00,1.353671e+01,1.085035e+03,-2.657663e+01,1.085361e+03,-1.4031
2.721339e+00,1.709868e+01,1.082597e+03,-2.656084e+01,1.082923e+03,-1.4054
3.437414e+00,2.159791e+01,1.080260e+03,-2.718726e+01,1.080602e+03,-1.4417
4.341913e+00,2.728105e+01,1.077973e+03,-2.852501e+01,1.078350e+03,-1.5158
5.484417e+00,3.445961e+01,1.075675e+03,-3.066539e+01,1.076112e+03,-1.6329
6.927551e+00,4.352708e+01,1.073297e+03,-3.372519e+01,1.073827e+03,-1.7998
8.750422e+00,5.498052e+01,1.070758e+03,-3.785069e+01,1.071426e+03,-2.0245
1.105295e+01,6.944774e+01,1.067953e+03,-4.322177e+01,1.068827e+03,-2.3176
1.396135e+01,8.772177e+01,1.064753e+03,-5.005632e+01,1.065929e+03,-2.6916
1.763505e+01,1.108043e+02,1.060988e+03,-5.861397e+01,1.062606e+03,-3.1621
2.227543e+01,1.399607e+02,1.056433e+03,-6.919842e+01,1.058697e+03,-3.7476
2.813684e+01,1.767890e+02,1.050789e+03,-8.215647e+01,1.053996e+03,-4.4706
3.554059e+01,2.233081e+02,1.043654e+03,-9.787074e+01,1.048233e+03,-5.3574
4.489251e+01,2.820680e+02,1.034492e+03,-1.167416e+02,1.041058e+03,-6.4385
5.670524e+01,3.562895e+02,1.022587e+03,-1.391511e+02,1.032011e+03,-7.7491
7.162629e+01,4.500413e+02,1.007005e+03,-1.653994e+02,1.020497e+03,-9.3275
9.047357e+01,5.684622e+02,9.865590e+02,-1.956013e+02,1.005763e+03,-11.2144
1.142802e+02,7.180437e+02,9.598106e+02,-2.295346e+02,9.868751e+02,-13.4494
1.443512e+02,9.069851e+02,9.251390e+02,-2.664405e+02,9.627423e+02,-16.0664
1.823348e+02,1.145643e+03,8.809385e+02,-3.048059e+02,9.321799e+02,-19.0857
2.303132e+02,1.447101e+03,8.259842e+02,-3.422108e+02,8.940683e+02,-22.5046
2.909163e+02,1.827881e+03,7.599564e+02,-3.753772e+02,8.476095e+02,-26.2869
3.674662e+02,2.308858e+03,6.839898e+02,-4.005710e+02,7.926533e+02,-30.3549
4.641589e+02,2.916396e+03,6.009695e+02,-4.143949e+02,7.299915e+02,-34.5880
5.862947e+02,3.683798e+03,5.152768e+02,-4.147573e+02,6.614634e+02,-38.8313
7.405685e+02,4.653129e+03,4.319183e+02,-4.015712e+02,5.897566e+02,-42.9148
9.354369e+02,5.877523e+03,3.553658e+02,-3.767847e+02,5.179301e+02,-46.6757
1.181582e+03,7.424097e+03,2.886440e+02,-3.437266e+02,4.488467e+02,-49.9782
1.492496e+03,9.377626e+03,2.330222e+02,-3.061393e+02,3.847344e+02,-52.7229
