f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.348903e+03,-2.604224e+02,1.373812e+03,-10.9272
1.263134e-02,7.936502e-02,1.320200e+03,-2.317487e+02,1.340387e+03,-9.9563
1.595506e-02,1.002486e-01,1.294659e+03,-2.062427e+02,1.310984e+03,-9.0513
2.015338e-02,1.266274e-01,1.271931e+03,-1.835566e+02,1.285107e+03,-8.2119
2.545641e-02,1.599473e-01,1.251705e+03,-1.633814e+02,1.262323e+03,-7.4366
3.215484e-02,2.020348e-01,1.233705e+03,-1.454424e+02,1.242249e+03,-6.7236
4.061586e-02,2.551970e-01,1.217686e+03,-1.294957e+02,1.224552e+03,-6.0704
5.130326e-02,3.223479e-01,1.203427e+03,-1.153251e+02,1.208940e+03,-5.4740
6.480286e-02,4.071684e-01,1.190734e+03,-1.027387e+02,1.195158e+03,-4.9314
8.185467e-02,5.143081e-01,1.179434e+03,-9.156659e+01,1.182983e+03,-4.4393
1.033934e-01,6.496398e-01,1.169370e+03,-8.165890e+01,1.172218e+03,-3.9946
1.305997e-01,8.205818e-01,1.160407e+03,-7.288346e+01,1.162693e+03,-3.5939
1.649648e-01,1.036504e+00,1.152419e+03,-6.512430e+01,1.154257e+03,-3.2344
2.083726e-01,1.309244e+00,1.145297e+03,-5.828022e+01,1.146779e+03,-2.9131
2.632024e-01,1.653749e+00,1.138943e+03,-5.226359e+01,1.140141e+03,-2.6273
3.324598e-01,2.088906e+00,1.133268e+03,-4.699940e+01,1.134242e+03,-2.3748
4.199411e-01,2.638568e+00,1.128193e+03,-4.242452e+01,1.128990e+03,-2.1535
5.304417e-01,3.332864e+00,1.123646e+03,-3.848720e+01,1.124305e+03,-1.9617
6.700188e-01,4.209852e+00,1.119562e+03,-3.514681e+01,1.120114e+03,-1.7981
8.463232e-01,5.317605e+00,1.115882e+03,-3.237379e+01,1.116352e+03,-1.6618
1.069019e+00,6.716846e+00,1.112550e+03,-3.014991e+01,1.112959e+03,-1.5523
1.350314e+00,8.484273e+00,1.109516e+03,-2.846877e+01,1.109881e+03,-1.4698
1.705627e+00,1.071677e+01,1.106729e+03,-2.733669e+01,1.107067e+03,-1.4149
2.154435e+00,1.353671e+01,1.104143e+03,-2.677385e+01,1.104467e+03,-1.3891
2.721339e+00,1.709868e+01,1.101708e+03,-2.681596e+01,1.102034e+03,-1.3943
3.437414e+00,2.159791e+01,1.099375e+03,-2.751627e+01,1.099720e+03,-1.4338
4.341913e+00,2.728105e+01,1.097091e+03,-2.894815e+01,1.097473e+03,-1.5115
5.484417e+00,3.445961e+01,1.094794e+03,-3.120818e+01,1.095239e+03,-1.6328
6.927551e+00,4.352708e+01,1.092415e+03,-3.441980e+01,1.092957e+03,-1.8047
8.750422e+00,5.498052e+01,1.089870e+03,-3.873748e+01,1.090558e+03,-2.0356
1.105295e+01,6.944774e+01,1.087051e+03,-4.435126e+01,1.087956e+03,-2.3363
1.396135e+01,8.772177e+01,1.083825e+03,-5.149143e+01,1.085048e+03,-2.7200
1.763505e+01,1.108043e+02,1.080014e+03,-6.043260e+01,1.081704e+03,-3.2027
2.227543e+01,1.399607e+02,1.075384e+03,-7.149623e+01,1.077758e+03,-3.8037
2.813684e+01,1.767890e+02,1.069619e+03,-8.504955e+01,1.072995e+03,-4.5462
3.554059e+01,2.233081e+02,1.062294e+03,-1.014976e+02,1.067132e+03,-5.4578
4.489251e+01,2.820680e+02,1.052839e+03,-1.212636e+02,1.059799e+03,-6.5702
5.670524e+01,3.562895e+02,1.040490e+03,-1.447488e+02,1.050510e+03,-7.9199
7.162629e+01,4.500413e+02,1.024247e+03,-1.722625e+02,1.038632e+03,-9.5469
9.047357e+01,5.684622e+02,1.002841e+03,-2.039084e+02,1.023362e+03,-11.4933
1.142802e+02,7.180437e+02,9.747308e+02,-2.394161e+02,1.003703e+03,-13.8000
1.443512e+02,9.069851e+02,9.381931e+02,-2.779231e+02,9.784925e+02,-16.5010
1.823348e+02,1.145643e+03,8.915468e+02,-3.177414e+02,9.464752e+02,-19.6157
2.303132e+02,1.447101e+03,8.335666e+02,-3.562058e+02,9.064854e+02,-23.1383
2.909163e+02,1.827881e+03,7.640622e+02,-3.897607e+02,8.577322e+02,-27.0269
3.674662e+02,2.308858e+03,6.844578e+02,-4.144459e+02,8.001549e+02,-31.1953
