f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.943460e+03,-2.402257e+02,3.950771e+03,-3.4860
1.263134e-02,7.936502e-02,3.917026e+03,-2.140217e+02,3.922869e+03,-3.1275
1.595506e-02,1.002486e-01,3.893491e+03,-1.907664e+02,3.898162e+03,-2.8050
2.015338e-02,1.266274e-01,3.872533e+03,-1.701482e+02,3.876269e+03,-2.5158
2.545641e-02,1.599473e-01,3.853865e+03,-1.518927e+02,3.856857e+03,-2.2570
3.215484e-02,2.020348e-01,3.837228e+03,-1.357595e+02,3.839629e+03,-2.0263
4.061586e-02,2.551970e-01,3.822395e+03,-1.215391e+02,3.824327e+03,-1.8212
5.130326e-02,3.223479e-01,3.809160e+03,-1.090507e+02,3.810721e+03,-1.6398
6.480286e-02,4.071684e-01,3.797338e+03,-9.814008e+01,3.798606e+03,-1.4804
8.185467e-02,5.143081e-01,3.786765e+03,-8.867833e+01,3.787803e+03,-1.3415
1.033934e-01,6.496398e-01,3.777289e+03,-8.056079e+01,3.778148e+03,-1.2218
1.305997e-01,8.205818e-01,3.768776e+03,-7.370670e+01,3.769497e+03,-1.1204
1.649648e-01,1.036504e+00,3.761101e+03,-6.805931e+01,3.761716e+03,-1.0367
2.083726e-01,1.309244e+00,3.754148e+03,-6.358659e+01,3.754686e+03,-0.9704
2.632024e-01,1.653749e+00,3.747809e+03,-6.028259e+01,3.748294e+03,-0.9215
3.324598e-01,2.088906e+00,3.741983e+03,-5.816959e+01,3.742435e+03,-0.8906
4.199411e-01,2.638568e+00,3.736567e+03,-5.730102e+01,3.737006e+03,-0.8786
5.304417e-01,3.332864e+00,3.731461e+03,-5.776540e+01,3.731908e+03,-0.8869
6.700188e-01,4.209852e+00,3.726560e+03,-5.969134e+01,3.727038e+03,-0.9177
8.463232e-01,5.317605e+00,3.721753e+03,-6.325381e+01,3.722290e+03,-0.9737
1.069019e+00,6.716846e+00,3.716914e+03,-6.868184e+01,3.717548e+03,-1.0586
1.350314e+00,8.484273e+00,3.711899e+03,-7.626778e+01,3.712683e+03,-1.1771
1.705627e+00,1.071677e+01,3.706537e+03,-8.637823e+01,3.707543e+03,-1.3350
2.154435e+00,1.353671e+01,3.700614e+03,-9.946660e+01,3.701950e+03,-1.5396
2.721339e+00,1.709868e+01,3.693860e+03,-1.160871e+02,3.695683e+03,-1.8000
3.437414e+00,2.159791e+01,3.685926e+03,-1.369097e+02,3.688467e+03,-2.1272
4.341913e+00,2.728105e+01,3.676350e+03,-1.627340e+02,3.679950e+03,-2.5345
5.484417e+00,3.445961e+01,3.664516e+03,-1.945006e+02,3.669674e+03,-3.0382
6.927551e+00,4.352708e+01,3.649591e+03,-2.332937e+02,3.657040e+03,-3.6576
8.750422e+00,5.498052e+01,3.630449e+03,-2.803289e+02,3.641256e+03,-4.4154
1.105295e+01,6.944774e+01,3.605564e+03,-3.369110e+02,3.621270e+03,-5.3383
1.396135e+01,8.772177e+01,3.572880e+03,-4.043431e+02,3.595687e+03,-6.4567
1.763505e+01,1.108043e+02,3.529676e+03,-4.837566e+02,3.562673e+03,-7.8040
2.227543e+01,1.399607e+02,3.472428e+03,-5.758245e+02,3.519848e+03,-9.4155
2.813684e+01,1.767890e+02,3.396758e+03,-6.803191e+02,3.464217e+03,-11.3256
3.554059e+01,2.233081e+02,3.297566e+03,-7.954999e+02,3.392162e+03,-13.5628
4.489251e+01,2.820680e+02,3.169517e+03,-9.173909e+02,3.299612e+03,-16.1427
5.670524e+01,3.562895e+02,3.008062e+03,-1.039159e+03,3.182497e+03,-19.0579
7.162629e+01,4.500413e+02,2.811044e+03,-1.151005e+03,3.037561e+03,-22.2670
9.047357e+01,5.684622e+02,2.580575e+03,-1.241110e+03,2.863515e+03,-25.6849
1.142802e+02,7.180437e+02,2.324384e+03,-1.297932e+03,2.662215e+03,-29.1789
1.443512e+02,9.069851e+02,2.055539e+03,-1.313398e+03,2.439315e+03,-32.5768
1.823348e+02,1.145643e+03,1.790034e+03,-1.285629e+03,2.203875e+03,-35.6865
2.303132e+02,1.447101e+03,1.542997e+03,-1.219666e+03,1.966831e+03,-38.3247
2.909163e+02,1.827881e+03,1.325303e+03,-1.125746e+03,1.738889e+03,-40.3454
3.674662e+02,2.308858e+03,1.142062e+03,-1.016180e+03,1.528701e+03,-41.6619
4.641589e+02,2.916396e+03,9.931381e+02,-9.024162e+02,1.341894e+03,-42.2599
5.862947e+02,3.683798e+03,8.748411e+02,-7.933146e+02,1.180972e+03,-42.2021
7.405685e+02,4.653129e+03,7.817344e+02,-6.947014e+02,1.045810e+03,-41.6264
9.354369e+02,5.877523e+03,7.079742e+02,-6.097248e+02,9.343403e+02,-40.7358
1.181582e+03,7.424097e+03,6.480595e+02,-5.395006e+02,8.432331e+02,-39.7769
1.492496e+03,9.377626e+03,5.971393e+02,-4.837099e+02,7.684729e+02,-39.0090
1.885221e+03,1.184519e+04,5.510867e+02,-4.410121e+02,7.058244e+02,-38.6689
2.381286e+03,1.496206e+04,5.065233e+02,-4.092729e+02,6.512067e+02,-38.9384
3.007883e+03,1.889908e+04,4.609195e+02,-3.856935e+02,6.010044e+02,-39.9223
3.799357e+03,2.387207e+04,4.128065e+02,-3.669809e+02,5.523443e+02,-41.6368
4.799096e+03,3.015361e+04,3.620169e+02,-3.497047e+02,5.033385e+02,-44.0089
6.061899e+03,3.808803e+04,3.097506e+02,-3.308772e+02,4.532385e+02,-46.8888
7.656988e+03,4.811028e+04,2.582573e+02,-3.085928e+02,4.024007e+02,-50.0745
9.671799e+03,6.076970e+04,2.101370e+02,-2.823977e+02,3.520029e+02,-53.3464
1.221677e+04,7.676025e+04,1.675449e+02,-2.531584e+02,3.035795e+02,-56.5027
1.543142e+04,9.695845e+04,1.316789e+02,-2.225099e+02,2.585537e+02,-59.3834
1.949194e+04,1.224715e+05,1.027142e+02,-1.922066e+02,2.179302e+02,-61.8802
2.462092e+04,1.546978e+05,8.006910e+01,-1.636659e+02,1.822021e+02,-63.9311
3.109952e+04,1.954040e+05,6.277047e+01,-1.377910e+02,1.514150e+02,-65.5084
3.928284e+04,2.468214e+05,4.975286e+01,-1.150004e+02,1.253014e+02,-66.6052
4.961948e+04,3.117684e+05,4.003753e+01,-9.535134e+01,1.034161e+02,-67.2227
6.267603e+04,3.938051e+05,3.280850e+01,-7.867349e+01,8.524034e+01,-67.3628
7.916819e+04,4.974284e+05,2.742440e+01,-6.467741e+01,7.025144e+01,-67.0222
1.000000e+05,6.283185e+05,2.339925e+01,-5.302816e+01,5.796128e+01,-66.1900
