f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,4.475770e+03,-2.586772e+02,4.483239e+03,-3.3077
1.263134e-02,7.936502e-02,4.447318e+03,-2.305902e+02,4.453292e+03,-2.9681
1.595506e-02,1.002486e-01,4.421977e+03,-2.056890e+02,4.426759e+03,-2.6632
2.015338e-02,1.266274e-01,4.399399e+03,-1.836416e+02,4.403230e+03,-2.3903
2.545641e-02,1.599473e-01,4.379272e+03,-1.641567e+02,4.382347e+03,-2.1467
3.215484e-02,2.020348e-01,4.361318e+03,-1.469802e+02,4.363794e+03,-1.9302
4.061586e-02,2.551970e-01,4.345290e+03,-1.318921e+02,4.347291e+03,-1.7386
5.130326e-02,3.223479e-01,4.330963e+03,-1.187040e+02,4.332589e+03,-1.5700
6.480286e-02,4.071684e-01,4.318136e+03,-1.072573e+02,4.319467e+03,-1.4229
8.185467e-02,5.143081e-01,4.306626e+03,-9.742195e+01,4.307728e+03,-1.2959
1.033934e-01,6.496398e-01,4.296269e+03,-8.909554e+01,4.297193e+03,-1.1880
1.305997e-01,8.205818e-01,4.286912e+03,-8.220303e+01,4.287700e+03,-1.0985
1.649648e-01,1.036504e+00,4.278414e+03,-7.669733e+01,4.279101e+03,-1.0270
2.083726e-01,1.309244e+00,4.270642e+03,-7.256029e+01,4.271259e+03,-0.9734
2.632024e-01,1.653749e+00,4.263470e+03,-6.980456e+01,4.264041e+03,-0.9380
3.324598e-01,2.088906e+00,4.256773e+03,-6.847628e+01,4.257323e+03,-0.9216
4.199411e-01,2.638568e+00,4.250427e+03,-6.865858e+01,4.250981e+03,-0.9254
5.304417e-01,3.332864e+00,4.244303e+03,-7.047624e+01,4.244888e+03,-0.9513
6.700188e-01,4.209852e+00,4.238265e+03,-7.410141e+01,4.238913e+03,-1.0017
8.463232e-01,5.317605e+00,4.232161e+03,-7.976062e+01,4.232913e+03,-1.0797
1.069019e+00,6.716846e+00,4.225819e+03,-8.774315e+01,4.226730e+03,-1.1895
1.350314e+00,8.484273e+00,4.219035e+03,-9.841073e+01,4.220183e+03,-1.3362
1.705627e+00,1.071677e+01,4.211565e+03,-1.122085e+02,4.213059e+03,-1.5262
2.154435e+00,1.353671e+01,4.203103e+03,-1.296772e+02,4.205103e+03,-1.7672
2.721339e+00,1.709868e+01,4.193264e+03,-1.514649e+02,4.195999e+03,-2.0687
3.437414e+00,2.159791e+01,4.181554e+03,-1.783385e+02,4.185355e+03,-2.4421
4.341913e+00,2.728105e+01,4.167326e+03,-2.111914e+02,4.172674e+03,-2.9011
5.484417e+00,3.445961e+01,4.149735e+03,-2.510429e+02,4.157321e+03,-3.4620
6.927551e+00,4.352708e+01,4.127661e+03,-2.990243e+02,4.138478e+03,-4.1435
8.750422e+00,5.498052e+01,4.099629e+03,-3.563395e+02,4.115086e+03,-4.9677
1.105295e+01,6.944774e+01,4.063701e+03,-4.241853e+02,4.085780e+03,-5.9592
1.396135e+01,8.772177e+01,4.017365e+03,-5.036086e+02,4.048808e+03,-7.1452
1.763505e+01,1.108043e+02,3.957429e+03,-5.952747e+02,4.001949e+03,-8.5543
2.227543e+01,1.399607e+02,3.879975e+03,-6.991160e+02,3.942457e+03,-10.2143
2.813684e+01,1.767890e+02,3.780447e+03,-8.138520e+02,3.867057e+03,-12.1492
3.554059e+01,2.233081e+02,3.653986e+03,-9.364120e+02,3.772066e+03,-14.3739
4.489251e+01,2.820680e+02,3.496150e+03,-1.061390e+03,3.653712e+03,-16.8877
5.670524e+01,3.562895e+02,3.304081e+03,-1.180793e+03,3.508735e+03,-19.6656
7.162629e+01,4.500413e+02,3.078008e+03,-1.284468e+03,3.335265e+03,-22.6510
9.047357e+01,5.684622e+02,2.822604e+03,-1.361519e+03,3.133820e+03,-25.7509
1.142802e+02,7.180437e+02,2.547469e+03,-1.402657e+03,2.908100e+03,-28.8375
1.443512e+02,9.069851e+02,2.266053e+03,-1.402778e+03,2.665104e+03,-31.7592
1.823348e+02,1.145643e+03,1.993078e+03,-1.362592e+03,2.414336e+03,-34.3589
2.303132e+02,1.447101e+03,1.741400e+03,-1.288458e+03,2.166241e+03,-36.4977
2.909163e+02,1.827881e+03,1.519641e+03,-1.190498e+03,1.930439e+03,-38.0754
3.674662e+02,2.308858e+03,1.331415e+03,-1.079979e+03,1.714357e+03,-39.0473
4.641589e+02,2.916396e+03,1.176000e+03,-9.670954e+02,1.522580e+03,-39.4325
5.862947e+02,3.683798e+03,1.049753e+03,-8.597271e+02,1.356876e+03,-39.3168
7.405685e+02,4.653129e+03,9.475439e+02,-7.631327e+02,1.216639e+03,-38.8473
9.354369e+02,5.877523e+03,8.638162e+02,-6.802266e+02,1.099494e+03,-38.2193
1.181582e+03,7.424097e+03,7.932092e+02,-6.120560e+02,1.001895e+03,-37.6545
1.492496e+03,9.377626e+03,7.308559e+02,-5.582380e+02,9.196630e+02,-37.3731
1.885221e+03,1.184519e+04,6.725278e+02,-5.172551e+02,8.484377e+02,-37.5646
2.381286e+03,1.496206e+04,6.147795e+02,-4.866283e+02,7.840669e+02,-38.3633
3.007883e+03,1.889908e+04,5.551881e+02,-4.630757e+02,7.229612e+02,-39.8311
3.799357e+03,2.387207e+04,4.926735e+02,-4.428109e+02,6.624264e+02,-41.9489
4.799096e+03,3.015361e+04,4.277407e+02,-4.221001e+02,6.009414e+02,-44.6197
6.061899e+03,3.808803e+04,3.623902e+02,-3.980195e+02,5.382808e+02,-47.6827
7.656988e+03,4.811028e+04,2.995435e+02,-3.691211e+02,4.753701e+02,-50.9405
9.671799e+03,6.076970e+04,2.421335e+02,-3.356397e+02,4.138631e+02,-54.1930
1.221677e+04,7.676025e+04,1.922741e+02,-2.991144e+02,3.555823e+02,-57.2666
1.543142e+04,9.695845e+04,1.508715e+02,-2.616608e+02,3.020407e+02,-60.0326
1.949194e+04,1.224715e+05,1.177250e+02,-2.252818e+02,2.541871e+02,-62.4099
2.462092e+04,1.546978e+05,9.190819e+01,-1.914642e+02,2.123809e+02,-64.3577
3.109952e+04,1.954040e+05,7.217816e+01,-1.610783e+02,1.765104e+02,-65.8632
3.928284e+04,2.468214e+05,5.727414e+01,-1.344655e+02,1.461550e+02,-66.9289
4.961948e+04,3.117684e+05,4.607959e+01,-1.115940e+02,1.207334e+02,-67.5632
6.267603e+04,3.938051e+05,3.768074e+01,-9.220840e+01,9.961038e+01,-67.7727
7.916819e+04,4.974284e+05,3.136545e+01,-7.594235e+01,8.216467e+01,-67.5586
1.000000e+05,6.283185e+05,2.659528e+01,-6.239390e+01,6.782557e+01,-66.9140
