f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.549272e+03,-2.300368e+02,3.556718e+03,-3.7083
1.263134e-02,7.936502e-02,3.523950e+03,-2.048881e+02,3.529902e+03,-3.3275
1.595506e-02,1.002486e-01,3.501410e+03,-1.825576e+02,3.506166e+03,-2.9846
2.015338e-02,1.266274e-01,3.481343e+03,-1.627451e+02,3.485144e+03,-2.6765
2.545641e-02,1.599473e-01,3.463472e+03,-1.451857e+02,3.466514e+03,-2.4004
3.215484e-02,2.020348e-01,3.447553e+03,-1.296465e+02,3.449990e+03,-2.1536
4.061586e-02,2.551970e-01,3.433367e+03,-1.159242e+02,3.435324e+03,-1.9338
5.130326e-02,3.223479e-01,3.420719e+03,-1.038418e+02,3.422295e+03,-1.7388
6.480286e-02,4.071684e-01,3.409432e+03,-9.324751e+01,3.410707e+03,-1.5666
8.185467e-02,5.143081e-01,3.399351e+03,-8.401272e+01,3.400389e+03,-1.4157
1.033934e-01,6.496398e-01,3.390332e+03,-7.603108e+01,3.391185e+03,-1.2847
1.305997e-01,8.205818e-01,3.382249e+03,-6.921788e+01,3.382957e+03,-1.1724
1.649648e-01,1.036504e+00,3.374985e+03,-6.350992e+01,3.375583e+03,-1.0781
2.083726e-01,1.309244e+00,3.368434e+03,-5.886588e+01,3.368948e+03,-1.0012
2.632024e-01,1.653749e+00,3.362495e+03,-5.526731e+01,3.362949e+03,-0.9417
3.324598e-01,2.088906e+00,3.357077e+03,-5.272021e+01,3.357491e+03,-0.8997
4.199411e-01,2.638568e+00,3.352090e+03,-5.125736e+01,3.352481e+03,-0.8761
5.304417e-01,3.332864e+00,3.347445e+03,-5.094158e+01,3.347833e+03,-0.8719
6.700188e-01,4.209852e+00,3.343055e+03,-5.186980e+01,3.343457e+03,-0.8889
8.463232e-01,5.317605e+00,3.338825e+03,-5.417839e+01,3.339265e+03,-0.9296
1.069019e+00,6.716846e+00,3.334655e+03,-5.804975e+01,3.335160e+03,-0.9973
1.350314e+00,8.484273e+00,3.330430e+03,-6.372034e+01,3.331040e+03,-1.0961
1.705627e+00,1.071677e+01,3.326016e+03,-7.149032e+01,3.326784e+03,-1.2313
2.154435e+00,1.353671e+01,3.321248e+03,-8.173498e+01,3.322254e+03,-1.4097
2.721339e+00,1.709868e+01,3.315921e+03,-9.491780e+01,3.317279e+03,-1.6396
3.437414e+00,2.159791e+01,3.309769e+03,-1.116050e+02,3.311650e+03,-1.9313
4.341913e+00,2.728105e+01,3.302441e+03,-1.324806e+02,3.305098e+03,-2.2972
5.484417e+00,3.445961e+01,3.293469e+03,-1.583606e+02,3.297274e+03,-2.7528
6.927551e+00,4.352708e+01,3.282216e+03,-1.902029e+02,3.287723e+03,-3.3166
8.750422e+00,5.498052e+01,3.267812e+03,-2.291080e+02,3.275833e+03,-4.0105
1.105295e+01,6.944774e+01,3.249064e+03,-2.762988e+02,3.260791e+03,-4.8607
1.396135e+01,8.772177e+01,3.224343e+03,-3.330674e+02,3.241500e+03,-5.8976
1.763505e+01,1.108043e+02,3.191446e+03,-4.006598e+02,3.216498e+03,-7.1556
2.227543e+01,1.399607e+02,3.147444e+03,-4.800674e+02,3.183845e+03,-8.6723
