f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,3.927152e+03,-2.225634e+02,3.933453e+03,-3.2437
1.263134e-02,7.936502e-02,3.902670e+03,-1.983902e+02,3.907709e+03,-2.9101
1.595506e-02,1.002486e-01,3.880864e+03,-1.769567e+02,3.884896e+03,-2.6107
2.015338e-02,1.266274e-01,3.861434e+03,-1.579768e+02,3.864664e+03,-2.3427
2.545641e-02,1.599473e-01,3.844114e+03,-1.411992e+02,3.846706e+03,-2.1036
3.215484e-02,2.020348e-01,3.828664e+03,-1.264043e+02,3.830750e+03,-1.8909
4.061586e-02,2.551970e-01,3.814870e+03,-1.134021e+02,3.816555e+03,-1.7027
5.130326e-02,3.223479e-01,3.802539e+03,-1.020290e+02,3.803908e+03,-1.5370
6.480286e-02,4.071684e-01,3.791499e+03,-9.214720e+01,3.792618e+03,-1.3922
8.185467e-02,5.143081e-01,3.781592e+03,-8.364270e+01,3.782517e+03,-1.2671
1.033934e-01,6.496398e-01,3.772676e+03,-7.642484e+01,3.773450e+03,-1.1605
1.305997e-01,8.205818e-01,3.764621e+03,-7.042595e+01,3.765280e+03,-1.0717
1.649648e-01,1.036504e+00,3.757305e+03,-6.560153e+01,3.757878e+03,-1.0003
2.083726e-01,1.309244e+00,3.750614e+03,-6.193102e+01,3.751126e+03,-0.9460
2.632024e-01,1.653749e+00,3.744441e+03,-5.941913e+01,3.744913e+03,-0.9091
3.324598e-01,2.088906e+00,3.738680e+03,-5.809785e+01,3.739131e+03,-0.8903
4.199411e-01,2.638568e+00,3.733225e+03,-5.802915e+01,3.733676e+03,-0.8905
5.304417e-01,3.332864e+00,3.727969e+03,-5.930860e+01,3.728441e+03,-0.9114
6.700188e-01,4.209852e+00,3.722797e+03,-6.206980e+01,3.723315e+03,-0.9552
8.463232e-01,5.317605e+00,3.717587e+03,-6.648995e+01,3.718181e+03,-1.0246
1.069019e+00,6.716846e+00,3.712197e+03,-7.279645e+01,3.712910e+03,-1.1234
1.350314e+00,8.484273e+00,3.706466e+03,-8.127477e+01,3.707357e+03,-1.2562
1.705627e+00,1.071677e+01,3.700202e+03,-9.227746e+01,3.701352e+03,-1.4286
2.154435e+00,1.353671e+01,3.693170e+03,-1.062343e+02,3.694698e+03,-1.6477
2.721339e+00,1.709868e+01,3.685078e+03,-1.236634e+02,3.687153e+03,-1.9220
3.437414e+00,2.159791e+01,3.675558e+03,-1.451820e+02,3.678424e+03,-2.2620
4.341913e+00,2.728105e+01,3.664135e+03,-1.715166e+02,3.668147e+03,-2.6800
5.484417e+00,3.445961e+01,3.650195e+03,-2.035094e+02,3.655863e+03,-3.1911
6.927551e+00,4.352708e+01,3.632935e+03,-2.421184e+02,3.640995e+03,-3.8129
8.750422e+00,5.498052e+01,3.611305e+03,-2.884038e+02,3.622803e+03,-4.5660
1.105295e+01,6.944774e+01,3.583923e+03,-3.434930e+02,3.600346e+03,-5.4747
1.396135e+01,8.772177e+01,3.548991e+03,-4.085100e+02,3.572424e+03,-6.5662
1.763505e+01,1.108043e+02,3.504184e+03,-4.844497e+02,3.537513e+03,-7.8712
2.227543e+01,1.399607e+02,3.446564e+03,-5.719750e+02,3.493703e+03,-9.4227
2.813684e+01,1.767890e+02,3.372525e+03,-6.711100e+02,3.438650e+03,-11.2545
3.554059e+01,2.233081e+02,3.277858e+03,-7.808187e+02,3.369574e+03,-13.3987
4.489251e+01,2.820680e+02,3.158011e+03,-8.984890e+02,3.283339e+03,-15.8816
5.670524e+01,3.562895e+02,3.008682e+03,-1.019421e+03,3.176694e+03,-18.7177
7.162629e+01,4.500413e+02,2.826806e+03,-1.136525e+03,3.046723e+03,-21.9027
9.047357e+01,5.684622e+02,2.611868e+03,-1.240553e+03,2.891509e+03,-25.4062
1.142802e+02,7.180437e+02,2.367221e+03,-1.321164e+03,2.710943e+03,-29.1662
1.443512e+02,9.069851e+02,2.100780e+03,-1.368877e+03,2.507410e+03,-33.0884
1.823348e+02,1.145643e+03,1.824456e+03,-1.377437e+03,2.286039e+03,-37.0523
2.303132e+02,1.447101e+03,1.552153e+03,-1.345639e+03,2.054245e+03,-40.9237
2.909163e+02,1.827881e+03,1.296963e+03,-1.277701e+03,1.820613e+03,-44.5713
3.674662e+02,2.308858e+03,1.068694e+03,-1.181987e+03,1.593487e+03,-47.8817
4.641589e+02,2.916396e+03,8.726515e+02,-1.068749e+03,1.379763e+03,-50.7678
5.862947e+02,3.683798e+03,7.098565e+02,-9.478966e+02,1.184232e+03,-53.1714
7.405685e+02,4.653129e+03,5.781719e+02,-8.275245e+02,1.009495e+03,-55.0589
9.354369e+02,5.877523e+03,4.736826e+02,-7.133498e+02,8.562961e+02,-56.4148
1.181582e+03,7.424097e+03,3.918486e+02,-6.088255e+02,7.240262e+02,-57.2341
1.492496e+03,9.377626e+03,3.282626e+02,-5.155948e+02,6.112236e+02,-57.5164
1.885221e+03,1.184519e+04,2.790415e+02,-4.340232e+02,5.159847e+02,-57.2623
2.381286e+03,1.496206e+04,2.409632e+02,-3.636680e+02,4.362542e+02,-56.4719
3.007883e+03,1.889908e+04,2.114544e+02,-3.036350e+02,3.700097e+02,-55.1463
3.799357e+03,2.387207e+04,1.885097e+02,-2.528234e+02,3.153658e+02,-53.2911
4.799096e+03,3.015361e+04,1.705902e+02,-2.100820e+02,2.706206e+02,-50.9228
6.061899e+03,3.808803e+04,1.565250e+02,-1.743014e+02,2.342670e+02,-48.0757
7.656988e+03,4.811028e+04,1.454265e+02,-1.444615e+02,2.049829e+02,-44.8093
9.671799e+03,6.076970e+04,1.366220e+02,-1.196535e+02,1.816109e+02,-41.2119
1.221677e+04,7.676025e+04,1.296004e+02,-9.908438e+01,1.631379e+02,-37.3993
1.543142e+04,9.695845e+04,1.239716e+02,-8.207245e+01,1.486770e+02,-33.5056
1.949194e+04,1.224715e+05,1.194359e+02,-6.803840e+01,1.374560e+02,-29.6686
2.462092e+04,1.546978e+05,1.157613e+02,-5.649431e+01,1.288111e+02,-26.0135
3.109952e+04,1.954040e+05,1.127665e+02,-4.703232e+01,1.221815e+02,-22.6399
3.928284e+04,2.468214e+05,1.103080e+02,-3.931385e+01,1.171044e+02,-19.6161
4.961948e+04,3.117684e+05,1.082707e+02,-3.305976e+01,1.132055e+02,-16.9797
6.267603e+04,3.938051e+05,1.065600e+02,-2.804158e+01,1.101878e+02,-14.7433
7.916819e+04,4.974284e+05,1.050959e+02,-2.407380e+01,1.078178e+02,-12.9019
1.000000e+05,6.283185e+05,1.038079e+02,-2.100696e+01,1.059121e+02,-11.4401
