f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,1.397054e+03,-2.544284e+02,1.420033e+03,-10.3215
1.263134e-02,7.936502e-02,1.369012e+03,-2.264131e+02,1.387608e+03,-9.3908
1.595506e-02,1.002486e-01,1.344059e+03,-2.014926e+02,1.359079e+03,-8.5259
2.015338e-02,1.266274e-01,1.321855e+03,-1.793272e+02,1.333964e+03,-7.7258
2.545641e-02,1.599473e-01,1.302096e+03,-1.596150e+02,1.311843e+03,-6.9886
3.215484e-02,2.020348e-01,1.284512e+03,-1.420876e+02,1.292347e+03,-6.3122
4.061586e-02,2.551970e-01,1.268863e+03,-1.265070e+02,1.275154e+03,-5.6936
5.130326e-02,3.223479e-01,1.254935e+03,-1.126618e+02,1.259982e+03,-5.1300
6.480286e-02,4.071684e-01,1.242538e+03,-1.003647e+02,1.246584e+03,-4.6180
8.185467e-02,5.143081e-01,1.231501e+03,-8.945003e+01,1.234745e+03,-4.1544
1.033934e-01,6.496398e-01,1.221673e+03,-7.977143e+01,1.224275e+03,-3.7359
1.305997e-01,8.205818e-01,1.212921e+03,-7.120013e+01,1.215009e+03,-3.3595
1.649648e-01,1.036504e+00,1.205123e+03,-6.362325e+01,1.206801e+03,-3.0221
2.083726e-01,1.309244e+00,1.198172e+03,-5.694247e+01,1.199525e+03,-2.7209
2.632024e-01,1.653749e+00,1.191973e+03,-5.107289e+01,1.193066e+03,-2.4535
3.324598e-01,2.088906e+00,1.186438e+03,-4.594219e+01,1.187327e+03,-2.2175
4.199411e-01,2.638568e+00,1.181492e+03,-4.148992e+01,1.182220e+03,-2.0112
5.304417e-01,3.332864e+00,1.177063e+03,-3.766715e+01,1.177666e+03,-1.8329
6.700188e-01,4.209852e+00,1.173090e+03,-3.443627e+01,1.173595e+03,-1.6814
8.463232e-01,5.317605e+00,1.169513e+03,-3.177113e+01,1.169945e+03,-1.5561
1.069019e+00,6.716846e+00,1.166281e+03,-2.965742e+01,1.166658e+03,-1.4567
1.350314e+00,8.484273e+00,1.163342e+03,-2.809340e+01,1.163681e+03,-1.3834
1.705627e+00,1.071677e+01,1.160650e+03,-2.709104e+01,1.160966e+03,-1.3371
2.154435e+00,1.353671e+01,1.158157e+03,-2.667751e+01,1.158464e+03,-1.3195
2.721339e+00,1.709868e+01,1.155818e+03,-2.689721e+01,1.156131e+03,-1.3331
3.437414e+00,2.159791e+01,1.153583e+03,-2.781434e+01,1.153918e+03,-1.3812
4.341913e+00,2.728105e+01,1.151400e+03,-2.951608e+01,1.151778e+03,-1.4685
5.484417e+00,3.445961e+01,1.149208e+03,-3.211649e+01,1.149657e+03,-1.6008
6.927551e+00,4.352708e+01,1.146937e+03,-3.576113e+01,1.147495e+03,-1.7859
8.750422e+00,5.498052e+01,1.144499e+03,-4.063240e+01,1.145220e+03,-2.0333
1.105295e+01,6.944774e+01,1.141783e+03,-4.695548e+01,1.142749e+03,-2.3549
1.396135e+01,8.772177e+01,1.138644e+03,-5.500459e+01,1.139972e+03,-2.7656
1.763505e+01,1.108043e+02,1.134886e+03,-6.510865e+01,1.136752e+03,-3.2835
2.227543e+01,1.399607e+02,1.130244e+03,-7.765525e+01,1.132908e+03,-3.9304
2.813684e+01,1.767890e+02,1.124355e+03,-9.309007e+01,1.128202e+03,-4.7330
3.554059e+01,2.233081e+02,1.116719e+03,-1.119077e+02,1.122313e+03,-5.7226
4.489251e+01,2.820680e+02,1.106649e+03,-1.346263e+02,1.114808e+03,-6.9361
5.670524e+01,3.562895e+02,1.093211e+03,-1.617352e+02,1.105111e+03,-8.4156
7.162629e+01,4.500413e+02,1.075164e+03,-1.935995e+02,1.092455e+03,-10.2076
9.047357e+01,5.684622e+02,1.050909e+03,-2.303030e+02,1.075848e+03,-12.3608
1.142802e+02,7.180437e+02,1.018507e+03,-2.714139e+02,1.054051e+03,-14.9215
1.443512e+02,9.069851e+02,9.758158e+02,-3.156833e+02,1.025608e+03,-17.9268
1.823348e+02,1.145643e+03,9.208356e+02,-3.607406e+02,9.889753e+02,-21.3929
2.303132e+02,1.447101e+03,8.523356e+02,-4.029478e+02,9.427847e+02,-25.3028
2.909163e+02,1.827881e+03,7.706630e+02,-4.376558e+02,8.862641e+02,-29.5920
3.674662e+02,2.308858e+03,6.784312e+02,-4.600612e+02,8.197105e+02,-34.1422
4.641589e+02,2.916396e+03,5.805802e+02,-4.665541e+02,7.448128e+02,-38.7854
5.862947e+02,3.683798e+03,4.834732e+02,-4.559859e+02,6.645822e+02,-43.3241
7.405685e+02,4.653129e+03,3.932882e+02,-4.301145e+02,5.828156e+02,-47.5608
9.354369e+02,5.877523e+03,3.145039e+02,-3.929325e+02,5.032978e+02,-51.3262
1.181582e+03,7.424097e+03,2.492067e+02,-3.493163e+02,4.290989e+02,-54.4954
1.492496e+03,9.377626e+03,1.973275e+02,-3.037483e+02,3.622170e+02,-56.9906
1.885221e+03,1.184519e+04,1.573972e+02,-2.595947e+02,3.035841e+02,-58.7708
2.381286e+03,1.496206e+04,1.273372e+02,-2.189568e+02,2.532920e+02,-59.8193
3.007883e+03,1.889908e+04,1.050231e+02,-1.828713e+02,2.108833e+02,-60.1312
3.799357e+03,2.387207e+04,8.858211e+01,-1.516252e+02,1.756046e+02,-59.7058
4.799096e+03,3.015361e+04,7.649730e+01,-1.250462e+02,1.465892e+02,-58.5437
6.061899e+03,3.808803e+04,6.760165e+01,-1.027209e+02,1.229698e+02,-56.6507
7.656988e+03,4.811028e+04,6.102593e+01,-8.413667e+01,1.039382e+02,-54.0459
9.671799e+03,6.076970e+04,5.613535e+01,-6.876643e+01,8.876936e+01,-50.7746
1.221677e+04,7.676025e+04,5.247140e+01,-5.611377e+01,7.682450e+01,-46.9212
1.543142e+04,9.695845e+04,4.970458e+01,-4.573382e+01,6.754353e+01,-42.6176
1.949194e+04,1.224715e+05,4.759826e+01,-3.723982e+01,6.043508e+01,-38.0388
2.462092e+04,1.546978e+05,4.598200e+01,-3.030215e+01,5.506873e+01,-33.3849
3.109952e+04,1.954040e+05,4.473245e+01,-2.464366e+01,5.107154e+01,-28.8509
3.928284e+04,2.468214e+05,4.375970e+01,-2.003343e+01,4.812743e+01,-24.5986
4.961948e+04,3.117684e+05,4.299769e+01,-1.628034e+01,4.597663e+01,-20.7383
6.267603e+04,3.938051e+05,4.239745e+01,-1.322696e+01,4.441279e+01,-17.3266
7.916819e+04,4.974284e+05,4.192235e+01,-1.074407e+01,4.327722e+01,-14.3747
1.000000e+05,6.283185e+05,4.154472e+01,-8.725849e+00,4.245120e+01,-11.8617
